term_str,n,n_chars,p,i,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stop,porter_stem,stem_snowball,stem_lancaster
contend,2,7,4.7270930977350136e-06,17.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,contend,contend,contend
contends,1,8,2.3635465488675068e-06,18.690615291190333,VBZ,VB,1,{'VB'},1,{'VBZ'},0,contend,contend,contend
content,23,7,5.4361570623952654e-05,14.167053335133321,NN,NN,3,"{'JJ', 'NN', 'VB'}",4,"{'JJ', 'NN', 'VB', 'NNS'}",0,content,content,cont
contented,9,9,2.127191893980756e-05,15.520690289748021,VBD,VB,2,"{'JJ', 'VB'}",3,"{'JJ', 'VBN', 'VBD'}",0,content,content,cont
contentedly,5,11,1.1817732744337534e-05,16.36868719630297,NN,NN,3,"{'JJ', 'NN', 'RB'}",3,"{'JJ', 'NN', 'RB'}",0,contentedli,content,cont
contention,1,10,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,content,content,cont
contentment,1,11,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,content,content,cont
contents,11,8,2.5999012037542573e-05,15.231183672553037,NNS,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,content,content,cont
contest,1,7,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,contest,contest,contest
context,3,7,7.09063964660252e-06,17.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,context,context,context
continent,1,9,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,contin,contin,contin
contingencies,1,13,2.3635465488675068e-06,18.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,conting,conting,cont
contingent,3,10,7.09063964660252e-06,17.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,conting,conting,cont
continual,5,9,1.1817732744337534e-05,16.36868719630297,JJ,JJ,1,{'JJ'},1,{'JJ'},0,continu,continu,contin
continually,27,11,6.381575681942268e-05,13.935727789026865,RB,RB,1,{'RB'},1,{'RB'},0,continu,continu,contin
continue,34,8,8.036058266149522e-05,13.603152449939994,VB,VB,2,"{'NN', 'VB'}",3,"{'NN', 'VB', 'VBP'}",0,continu,continu,continu
continued,43,9,0.00010163250160130279,13.264350536488235,VBD,VB,3,"{'JJ', 'NN', 'VB'}",5,"{'JJ', 'VBN', 'VBD', 'VBZ', 'NN'}",0,continu,continu,continu
continues,5,9,1.1817732744337534e-05,16.36868719630297,VBZ,VB,1,{'VB'},1,{'VBZ'},0,continu,continu,continu
continuing,6,10,1.418127929320504e-05,16.105652790469176,VBG,VB,1,{'VB'},1,{'VBG'},0,continu,continu,continu
continuous,4,10,9.454186195470027e-06,16.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,continu,continu,continu
continuously,7,12,1.6544825842072546e-05,15.88326036913273,RB,RB,2,"{'NN', 'RB'}",2,"{'NN', 'RB'}",0,continu,continu,continu
contorted,1,9,2.3635465488675068e-06,18.690615291190333,VBN,VB,1,{'VB'},1,{'VBN'},0,contort,contort,contort
contours,1,8,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,contour,contour,conto
contract,6,8,1.418127929320504e-05,16.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,contract,contract,contract
contractor,1,10,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,contractor,contractor,contract
contracts,2,9,4.7270930977350136e-06,17.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,contract,contract,contract
contradict,7,10,1.6544825842072546e-05,15.88326036913273,VB,VB,1,{'VB'},2,"{'VB', 'VBP'}",0,contradict,contradict,contradict
contradicted,7,12,1.6544825842072546e-05,15.88326036913273,VBD,VB,2,"{'JJ', 'VB'}",3,"{'JJ', 'VBN', 'VBD'}",0,contradict,contradict,contradict
contradicting,4,13,9.454186195470027e-06,16.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,contradict,contradict,contradict
contradiction,12,13,2.836255858641008e-05,15.105652790469177,NN,NN,1,{'NN'},1,{'NN'},0,contradict,contradict,contradict
contradictions,3,14,7.09063964660252e-06,17.105652790469176,NNS,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,contradict,contradict,contradict
contradictory,4,13,9.454186195470027e-06,16.690615291190333,NN,NN,3,"{'JJ', 'NN', 'VB'}",3,"{'JJ', 'NN', 'VBD'}",0,contradictori,contradictori,contradict
contradicts,3,11,7.09063964660252e-06,17.105652790469176,NNS,NN,2,"{'NN', 'VB'}",2,"{'VBZ', 'NNS'}",0,contradict,contradict,contradict
contraption,1,11,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,contrapt,contrapt,contrapt
contrari,1,8,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,contrari,contrari,contrar
contrarians,3,11,7.09063964660252e-06,17.105652790469176,NNS,NN,1,{'NN'},1,{'NNS'},0,contrarian,contrarian,contr
contrary,40,8,9.454186195470027e-05,13.368687196302972,NN,NN,2,"{'JJ', 'NN'}",2,"{'JJ', 'NN'}",0,contrari,contrari,cont
contrast,19,8,4.490738442848263e-05,14.442687777746748,NN,NN,1,{'NN'},1,{'NN'},0,contrast,contrast,contrast
contravene,1,10,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,contraven,contraven,contrav
contribute,1,10,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,contribut,contribut,contribut
contributed,3,11,7.09063964660252e-06,17.105652790469176,VBN,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,contribut,contribut,contribut
contributes,2,11,4.7270930977350136e-06,17.690615291190333,VBZ,VB,1,{'VB'},1,{'VBZ'},0,contribut,contribut,contribut
contributing,1,12,2.3635465488675068e-06,18.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,contribut,contribut,contribut
contribution,1,12,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,contribut,contribut,contribut
contributions,1,13,2.3635465488675068e-06,18.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,contribut,contribut,contribut
contrived,4,9,9.454186195470027e-06,16.690615291190333,VBN,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,contriv,contriv,cont
control,25,7,5.9088663721687664e-05,14.046759101415608,NN,NN,2,"{'NN', 'VB'}",2,"{'NN', 'VB'}",0,control,control,control
controlled,5,10,1.1817732744337534e-05,16.36868719630297,VBD,VB,3,"{'JJ', 'NN', 'VB'}",3,"{'JJ', 'NN', 'VBD'}",0,control,control,control
controlling,1,11,2.3635465488675068e-06,18.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,control,control,control
convenience,1,11,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,conveni,conveni,conveny
convenient,2,10,4.7270930977350136e-06,17.690615291190333,NN,NN,2,"{'JJ', 'NN'}",2,"{'JJ', 'NN'}",0,conveni,conveni,conveny
conver,1,6,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,conver,conver,conv
converged,1,9,2.3635465488675068e-06,18.690615291190333,VBD,VB,1,{'VB'},1,{'VBD'},0,converg,converg,converg
conversation,94,12,0.00022217337559354562,12.136026439512696,NN,NN,1,{'NN'},2,"{'NN', 'NNP'}",0,convers,convers,convers
conversations,13,13,3.072610513527759e-05,14.99017557304924,NNS,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,convers,convers,convers
conversationwith,1,16,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,conversationwith,conversationwith,conversationwi
converse,1,8,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,convers,convers,convers
conversely,1,10,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,convers,convers,convers
conversion,2,10,4.7270930977350136e-06,17.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,convers,convers,convert
convert,1,7,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,convert,convert,convert
converted,3,9,7.09063964660252e-06,17.105652790469176,VBD,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,convert,convert,convert
convey,2,6,4.7270930977350136e-06,17.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,convey,convey,convey
conveyance,1,10,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,convey,convey,convey
conveyed,3,8,7.09063964660252e-06,17.105652790469176,VBN,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,convey,convey,convey
conveyor,1,8,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,conveyor,conveyor,convey
conveys,1,7,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,convey,convey,convey
convicted,2,9,4.7270930977350136e-06,17.690615291190333,VBN,VB,2,"{'NN', 'VB'}",2,"{'NN', 'VBN'}",0,convict,convict,convict
conviction,17,10,4.018029133074761e-05,14.603152449939994,NN,NN,1,{'NN'},1,{'NN'},0,convict,convict,convict
convictions,2,11,4.7270930977350136e-06,17.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,convict,convict,convict
convicts,1,8,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,convict,convict,convict
convince,9,8,2.127191893980756e-05,15.520690289748021,VB,VB,1,{'VB'},1,{'VB'},0,convinc,convinc,convint
convinced,31,9,7.32699430148927e-05,13.736418980803458,VBN,VB,3,"{'JJ', 'NN', 'VB'}",5,"{'JJ', 'VBN', 'VBD', 'NN', 'VBG'}",0,convinc,convinc,convint
convincing,3,10,7.09063964660252e-06,17.105652790469176,NN,VB,3,"{'JJ', 'NN', 'VB'}",3,"{'JJ', 'NN', 'VBG'}",0,convinc,convinc,convint
convulsion,1,10,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,convuls,convuls,convuls
convulsive,1,10,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,convuls,convuls,convuls
conﬁdante,1,9,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,conﬁdant,conﬁdant,conﬁd
conﬁde,2,6,4.7270930977350136e-06,17.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,conﬁd,conﬁd,conﬁd
conﬁdence,6,9,1.418127929320504e-05,16.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,conﬁdenc,conﬁdenc,conﬁd
conﬁdent,1,8,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,conﬁdent,conﬁdent,conﬁd
conﬁding,1,8,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,conﬁd,conﬁd,conﬁd
conﬁned,1,7,2.3635465488675068e-06,18.690615291190333,VBN,VB,1,{'VB'},1,{'VBN'},0,conﬁn,conﬁn,conﬁn
conﬁrm,5,6,1.1817732744337534e-05,16.36868719630297,VB,VB,1,{'VB'},1,{'VB'},0,conﬁrm,conﬁrm,conﬁrm
conﬁrmation,2,11,4.7270930977350136e-06,17.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,conﬁrmat,conﬁrmat,conﬁrm
conﬁrmed,8,8,1.8908372390940054e-05,15.690615291190333,VBN,VB,2,"{'JJ', 'VB'}",3,"{'JJ', 'VBN', 'VBD'}",0,conﬁrm,conﬁrm,conﬁrm
conﬁrms,1,7,2.3635465488675068e-06,18.690615291190333,VBZ,VB,1,{'VB'},1,{'VBZ'},0,conﬁrm,conﬁrm,conﬁrm
conﬂagration,1,12,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,conﬂagr,conﬂagr,conﬂagr
conﬂict,1,7,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,conﬂict,conﬂict,conﬂict
cook,117,4,0.0002765349462174983,11.820250571606929,NNP,NN,2,"{'NN', 'VB'}",3,"{'NN', 'NNP', 'VB'}",0,cook,cook,cook
cooked,2,6,4.7270930977350136e-06,17.690615291190333,VBD,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,cook,cook,cook
cooking,5,7,1.1817732744337534e-05,16.36868719630297,NN,NN,2,"{'NN', 'VB'}",2,"{'NN', 'VBG'}",0,cook,cook,cook
cool,21,4,4.963447752621764e-05,14.298297868411574,NN,NN,3,"{'JJ', 'NN', 'VB'}",3,"{'JJ', 'NN', 'VBP'}",0,cool,cool,cool
cooled,1,6,2.3635465488675068e-06,18.690615291190333,VBN,VB,1,{'VB'},1,{'VBN'},0,cool,cool,cool
cooler,1,6,2.3635465488675068e-06,18.690615291190333,JJR,JJ,1,{'JJ'},1,{'JJR'},0,cooler,cooler,cool
cooling,1,7,2.3635465488675068e-06,18.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,cool,cool,cool
coolly,5,6,1.1817732744337534e-05,16.36868719630297,RB,RB,2,"{'NN', 'RB'}",2,"{'NN', 'RB'}",0,coolli,coolli,cool
coolness,1,8,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,cool,cool,cool
cools,1,5,2.3635465488675068e-06,18.690615291190333,VBZ,VB,1,{'VB'},1,{'VBZ'},0,cool,cool,cool
cooped,1,6,2.3635465488675068e-06,18.690615291190333,VBD,VB,1,{'VB'},1,{'VBD'},0,coop,coop,coop
cooperation,1,11,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,cooper,cooper,coop
coordinated,4,11,9.454186195470027e-06,16.690615291190333,VBN,VB,2,"{'JJ', 'VB'}",3,"{'JJ', 'VBN', 'VBD'}",0,coordin,coordin,coordin
cope,5,4,1.1817732744337534e-05,16.36868719630297,VB,VB,1,{'VB'},1,{'VB'},0,cope,cope,cop
copied,2,6,4.7270930977350136e-06,17.690615291190333,VBN,VB,1,{'VB'},1,{'VBN'},0,copi,copi,cop
copies,4,6,9.454186195470027e-06,16.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,copi,copi,cop
coping,1,6,2.3635465488675068e-06,18.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,cope,cope,cop
copious,2,7,4.7270930977350136e-06,17.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,copiou,copious,cop
coppers,1,7,2.3635465488675068e-06,18.690615291190333,VB,VB,1,{'VB'},1,{'VB'},0,copper,copper,cop
copse,1,5,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,cops,cops,cops
copy,7,4,1.6544825842072546e-05,15.88326036913273,NN,NN,2,"{'NN', 'VB'}",2,"{'NN', 'VB'}",0,copi,copi,cop
copying,3,7,7.09063964660252e-06,17.105652790469176,VBG,VB,2,"{'NN', 'VB'}",2,"{'NN', 'VBG'}",0,copi,copi,cop
cord,3,4,7.09063964660252e-06,17.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,cord,cord,cord
cordial,1,7,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,cordial,cordial,cord
cordially,2,9,4.7270930977350136e-06,17.690615291190333,RB,RB,1,{'RB'},1,{'RB'},0,cordial,cordial,cord
cordon,1,6,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,cordon,cordon,cordon
cords,1,5,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,cord,cord,cord
core,2,4,4.7270930977350136e-06,17.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,core,core,cor
corner,96,6,0.00022690046869128065,12.105652790469177,NN,NN,2,"{'NN', 'VB'}",2,"{'NN', 'VBP'}",0,corner,corner,corn
corners,9,7,2.127191893980756e-05,15.520690289748021,NNS,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,corner,corner,corn
corollary,1,9,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,corollari,corollari,corol
corpse,7,6,1.6544825842072546e-05,15.88326036913273,NN,NN,1,{'NN'},1,{'NN'},0,corps,corps,corps
corpulent,1,9,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,corpul,corpul,corp
correct,23,7,5.4361570623952654e-05,14.167053335133321,JJ,JJ,3,"{'JJ', 'NN', 'VB'}",5,"{'JJ', 'VBN', 'VB', 'NN', 'VBP'}",0,correct,correct,correct
corrected,3,9,7.09063964660252e-06,17.105652790469176,VBN,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,correct,correct,correct
correcting,1,10,2.3635465488675068e-06,18.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,correct,correct,correct
correction,2,10,4.7270930977350136e-06,17.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,correct,correct,correct
correctly,13,9,3.072610513527759e-05,14.99017557304924,RB,VB,3,"{'NN', 'VB', 'RB'}",6,"{'VBZ', 'VB', 'NNS', 'NN', 'RB', 'VBP'}",0,correctli,correct,correct
correctlyout,1,12,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,correctlyout,correctlyout,correctlyout
corrects,1,8,2.3635465488675068e-06,18.690615291190333,VBZ,VB,1,{'VB'},1,{'VBZ'},0,correct,correct,correct
correlation,1,11,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,correl,correl,correl
correspond,2,10,4.7270930977350136e-06,17.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,correspond,correspond,correspond
correspondence,9,14,2.127191893980756e-05,15.520690289748021,NN,NN,1,{'NN'},1,{'NN'},0,correspond,correspond,correspond
corresponding,2,13,4.7270930977350136e-06,17.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,correspond,correspond,correspond
correspondingly,4,15,9.454186195470027e-06,16.690615291190333,RB,RB,1,{'RB'},1,{'RB'},0,correspondingli,correspond,correspond
corresponds,4,11,9.454186195470027e-06,16.690615291190333,VBZ,VB,2,"{'NN', 'VB'}",2,"{'VBZ', 'NNS'}",0,correspond,correspond,correspond
corridor,110,8,0.00025999012037542576,11.909255577665673,NN,NN,1,{'NN'},1,{'NN'},0,corridor,corridor,corrid
corridornot,1,11,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,corridornot,corridornot,corridornot
corridors,15,9,3.54531982330126e-05,14.783724695581816,NNS,NN,2,"{'NN', 'VB'}",3,"{'NN', 'VBD', 'NNS'}",0,corridor,corridor,corrid
corroboration,1,13,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,corrobor,corrobor,corrob
corrupt,1,7,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,corrupt,corrupt,corrupt
corrupted,1,9,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,corrupt,corrupt,corrupt
corruptible,1,11,2.3635465488675068e-06,18.690615291190333,RB,RB,1,{'RB'},1,{'RB'},0,corrupt,corrupt,corrupt
corset,3,6,7.09063964660252e-06,17.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,corset,corset,corset
corseted,1,8,2.3635465488675068e-06,18.690615291190333,VBD,VB,1,{'VB'},1,{'VBD'},0,corset,corset,corset
cosier,1,6,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,cosier,cosier,cosy
cosmopolitan,1,12,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,cosmopolitan,cosmopolitan,cosmopolit
cost,10,4,2.3635465488675068e-05,15.368687196302972,VBN,VB,2,"{'NN', 'VB'}",5,"{'VBN', 'VBZ', 'VB', 'NN', 'VBP'}",0,cost,cost,cost
costing,1,7,2.3635465488675068e-06,18.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,cost,cost,cost
costly,1,6,2.3635465488675068e-06,18.690615291190333,JJ,JJ,1,{'JJ'},1,{'JJ'},0,costli,cost,cost
costs,5,5,1.1817732744337534e-05,16.36868719630297,NN,NN,1,{'NN'},2,"{'NN', 'NNS'}",0,cost,cost,cost
costume,2,7,4.7270930977350136e-06,17.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,costum,costum,costum
costumes,2,8,4.7270930977350136e-06,17.690615291190333,VBZ,VB,2,"{'NN', 'VB'}",2,"{'VBZ', 'NN'}",0,costum,costum,costum
cosy,6,4,1.418127929320504e-05,16.105652790469176,JJ,JJ,1,{'JJ'},1,{'JJ'},0,cosi,cosi,cosy
cottage,3,7,7.09063964660252e-06,17.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,cottag,cottag,cot
cottages,2,8,4.7270930977350136e-06,17.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,cottag,cottag,cot
cotton,11,6,2.5999012037542573e-05,15.231183672553037,NN,NN,1,{'NN'},1,{'NN'},0,cotton,cotton,cotton
couch,20,5,4.7270930977350136e-05,14.368687196302972,NN,NN,2,"{'JJ', 'NN'}",3,"{'JJ', 'NN', 'NNS'}",0,couch,couch,couch
couched,1,7,2.3635465488675068e-06,18.690615291190333,VBD,VB,1,{'VB'},1,{'VBD'},0,couch,couch,couch
couchhe,1,7,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,couchh,couchh,couchh
cough,4,5,9.454186195470027e-06,16.690615291190333,NN,NN,2,"{'NN', 'VB'}",2,"{'NN', 'VB'}",0,cough,cough,cough
coughed,2,7,4.7270930977350136e-06,17.690615291190333,VBD,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,cough,cough,cough
coughing,9,8,2.127191893980756e-05,15.520690289748021,VBG,VB,2,"{'NN', 'VB'}",2,"{'NN', 'VBG'}",0,cough,cough,cough
coughs,2,6,4.7270930977350136e-06,17.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,cough,cough,cough
could,1369,5,0.0032356952253996167,8.271708559932433,MD,MD,4,"{'MD', 'NN', 'VB', 'RB'}",8,"{'MD', 'VBD', 'VBZ', 'VB', 'NN', 'NNP', 'RB', 'VBP'}",0,could,could,could
couldand,1,8,2.3635465488675068e-06,18.690615291190333,VBZ,VB,1,{'VB'},1,{'VBZ'},0,couldand,couldand,couldand
couldbut,1,8,2.3635465488675068e-06,18.690615291190333,VBP,VB,1,{'VB'},1,{'VBP'},0,couldbut,couldbut,couldbut
couldn,100,6,0.00023635465488675066,12.046759101415608,VBZ,VB,3,"{'JJ', 'NN', 'VB'}",7,"{'JJ', 'VBD', 'VBZ', 'VB', 'NN', 'NNP', 'VBP'}",1,couldn,couldn,couldn
couldnt,155,7,0.00036634971507446353,11.414490885916097,VBP,VB,4,"{'JJ', 'NN', 'VB', 'RB'}",9,"{'JJ', 'VBD', 'VBZ', 'VB', 'NNS', 'NN', 'NNP', 'RB', 'VBP'}",0,couldnt,couldnt,couldnt
council,8,7,1.8908372390940054e-05,15.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,council,council,council
councillor,5,10,1.1817732744337534e-05,16.36868719630297,NN,NN,1,{'NN'},1,{'NN'},0,councillor,councillor,council
councilor,1,9,2.3635465488675068e-06,18.690615291190333,NNP,NN,1,{'NN'},1,{'NNP'},0,councilor,councilor,council
counsel,5,7,1.1817732744337534e-05,16.36868719630297,NN,NN,1,{'NN'},2,"{'NN', 'NNP'}",0,counsel,counsel,counsel
counselled,1,10,2.3635465488675068e-06,18.690615291190333,VBN,VB,1,{'VB'},1,{'VBN'},0,counsel,counsel,counsel
counselling,1,11,2.3635465488675068e-06,18.690615291190333,VBG,VB,1,{'VB'},1,{'VBG'},0,counsel,counsel,counsel
count,19,5,4.490738442848263e-05,14.442687777746748,NN,NN,2,"{'NN', 'VB'}",3,"{'NN', 'VB', 'VBP'}",0,count,count,count
counted,2,7,4.7270930977350136e-06,17.690615291190333,VBD,VB,1,{'VB'},2,"{'VBN', 'VBD'}",0,count,count,count
counter,22,7,5.1998024075085146e-05,14.231183672553037,NN,NN,3,"{'JJ', 'NN', 'VB'}",4,"{'JJ', 'NN', 'VB', 'NNS'}",0,counter,counter,count
counterbalance,1,14,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,counterbal,counterbal,counterb
counterdemonstration,1,20,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,counterdemonstr,counterdemonstr,counterdemonst
countered,2,9,4.7270930977350136e-06,17.690615291190333,VBN,VB,1,{'VB'},1,{'VBN'},0,counter,counter,count
countermovement,1,15,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,countermov,countermov,countermov
counteronly,1,11,2.3635465488675068e-06,18.690615291190333,RB,RB,1,{'RB'},1,{'RB'},0,counteronli,counteron,counteron
counterpart,3,11,7.09063964660252e-06,17.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,counterpart,counterpart,counterpart
counterparts,1,12,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,counterpart,counterpart,counterpart
counters,2,8,4.7270930977350136e-06,17.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,counter,counter,count
counterservice,1,14,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,counterservic,counterservic,counterserv
counterweight,1,13,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,counterweight,counterweight,counterweight
counterweights,1,14,2.3635465488675068e-06,18.690615291190333,NNS,NN,1,{'NN'},1,{'NNS'},0,counterweight,counterweight,counterweight
counting,7,8,1.6544825842072546e-05,15.88326036913273,VBG,VB,1,{'VB'},1,{'VBG'},0,count,count,count
countless,14,9,3.308965168414509e-05,14.88326036913273,JJ,JJ,3,"{'JJ', 'NN', 'VB'}",3,"{'JJ', 'NN', 'VB'}",0,countless,countless,countless
countries,3,9,7.09063964660252e-06,17.105652790469176,NNS,NN,1,{'NN'},1,{'NNS'},0,countri,countri,country
country,47,7,0.00011108668779677281,13.136026439512696,NN,NN,1,{'NN'},2,"{'NN', 'NNP'}",0,countri,countri,country
countryman,4,10,9.454186195470027e-06,16.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,countryman,countryman,countrym
countryside,3,11,7.09063964660252e-06,17.105652790469176,NN,NN,1,{'NN'},1,{'NN'},0,countrysid,countrysid,countrysid
counts,14,6,3.308965168414509e-05,14.88326036913273,NN,NN,2,"{'NN', 'VB'}",3,"{'VBZ', 'NN', 'NNS'}",0,count,count,count
county,1,6,2.3635465488675068e-06,18.690615291190333,NN,NN,1,{'NN'},1,{'NN'},0,counti,counti,county
couple,51,6,0.00012054087399224284,13.018189949218838,NN,NN,1,{'NN'},1,{'NN'},0,coupl,coupl,coupl
coupées,1,7,2.3635465488675068e-06,18.690615291190333,NNP,NN,1,{'NN'},1,{'NNP'},0,coupé,coupé,coupé
courage,9,7,2.127191893980756e-05,15.520690289748021,NN,NN,3,"{'JJ', 'NN', 'VB'}",4,"{'JJ', 'NN', 'NNP', 'VB'}",0,courag,courag,cour
course,410,6,0.0009690540850356777,10.011135191684888,NN,NN,3,"{'JJ', 'NN', 'VB'}",4,"{'JJ', 'NN', 'NNS', 'VBP'}",0,cours,cours,cours
courses,2,7,4.7270930977350136e-06,17.690615291190333,VBZ,VB,2,"{'NN', 'VB'}",2,"{'VBZ', 'NN'}",0,cours,cours,cours
